	MK1_Ctrl	MK1_Ezh2	MK1_GSK	MK1_panT	SC2_Ctrl	SC2_Ezh2	SC2_GSK	SC2_Sima
ABCC3	0.72725213715701	0.750257688633494	0.578052544428006	0.818315520068168	0.416273054339329	0.304146010238755	0.831218013582356	0.135690904059245
ABCC4	0.103900793787964	0.094601021857805	0.12341410212544	0.080928585781144	0.260315203759327	0.316590388754614	0.338939169583389	0.135690904059245
ABCC5	0.566806031811853	0.791114579737932	0.700588395484162	1.33003686840395	2.17947149954389	2.37462096110185	1.52547078225633	1.91347963574174
ABCC5-AS1	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0.0159560969602546	0
ABCC6P1	0	0	0	0	0	0	0.00400559907909723	0
ABCC6P2	0	0	0	0	0	0	0	0
ABCC8	0.0577594161492652	0.0339973591957967	0.0517286484873785	0.028422146687768	0	0.00090744264359124	0.0278084161449192	0
ABCC9	0	0	0	0	0	0	0	0
ABCD1	0.25660769898268	0.245787950808295	0.278005958944789	0.334913441560518	0.0467798174360311	0.0922952185154781	0.0599089848180412	0.0933265446477129
ABCD2	0.00275975981556453	0.00451937461060254	0.00937433703610674	0.00477607940763233	0.00101127328286897	0.00090744264359124	0	0
ABCD3	0.779147662407227	0.764183301832698	0.693627216972794	0.763008400062808	0.454425734242	0.432776843016189	0.590740580397282	0.458762273151221
ABCD4	0.553692142832767	0.480601645711344	0.514952433340517	0.505694929588554	1.15016898843451	1.000749980342	0.963090759511768	0.900573148390307
ABCE1	1.17829848708819	1.19028862234971	1.10429847142008	1.0134113979266	0.838473102369239	0.977427440048624	0.807922383862562	0.779833597829047
ABCF1	0	0	0	0	0	0	0	0
ABCF1-DT	0	0	0	0	0	0	0	0
ABCF2	0.321415350191879	0.323805582121933	0.397059309097075	0.367169111058781	0.292058719884028	0.383527419654325	0.235415684625493	0.626393432496756
ABCF3	0.489555638840155	0.49544748093806	0.493735839745863	0.452848966456522	0.896685199397852	0.929619849357048	0.817058168268991	1.21513301780185
ABCG1	0.19117291813322	0.0996790804241069	0.166787793858415	0.0854445322153786	0.106256592749106	0.10078494479411	0.391104168502589	0.134838644330654
ABCG2	0	0	0	0	0.00807040738017081	0.00995061407389539	0.00100244288571136	0.0083997880947557
ABCG4	0.0146580883798202	0.00992400252392855	0.00563190854674418	0.0104865817214492	0.0270586064940943	0.0180412845821148	0.0129777401146354	0.0369636842535608
ABCG5	0.00275975981556453	0.00451937461060254	0.000940179521146817	0.0123850705329064	0.00101127328286897	0	0.00100244288571136	0
ABCG8	0.00092050664080546	0	0.000940179521146817	0.0123850705329064	0	0	0	0
ABHD1	0.0814497564852297	0.0672119748183072	0.105168271842074	0.08724696016074	0.0526439925581873	0.0385136301855931	0.0541253933973336	0.0478706037402187
ABHD10	0.589625336927823	0.588692385479251	0.663067834233488	0.686002715353762	0.363780715969434	0.299728121826639	0.437751636054197	0.331390597653795
ABHD11	0.384142208153937	0.489656421071956	0.476940510827942	0.455642403906758	0.483659010619809	0.511934591096615	0.277389680746708	0.39825832701544
ABHD11-AS1	0	0	0	0.00286754458525945	0	0	0.00200418971716534	0.00187085057734822
ABHD12	0.742192250359572	0.80827657474879	0.815130977258697	0.602134768778742	0.712639389882789	0.875728191051011	1.16396316839192	0.591410420448209
ABHD12B	0	0	0	0	0.404856934955905	0.493354851040659	0.125724796485897	0.28451352260197
ABHD13	0.431339042626344	0.31509986636451	0.342473867180037	0.436680881424552	0.16337814549777	0.183842004010966	0.248980690710954	0.25814502718173
ABHD14A	0.211991577532149	0.221923696228577	0.239489652125699	0.182222016483439	0.0349794700983019	0.0473248315077076	0.0209064020071173	0.0451515945055165
ABHD14A-ACY1	0.00275975981556453	0.000905008220201335	0.000940179521146817	0	0	0	0	0
ABHD14B	0.473729107359833	0.508870233921019	0.510337891481387	0.445139006633896	0.323927204416204	0.290851550685982	0.378817207345167	0.204729042966013
ABHD15	0.191979215673932	0.0654827710685117	0.0813650866140197	0.0791182417116094	0.0977735228465441	0.0708497260139134	0.0685411297279992	0.185926526908692
ABHD16A	0	0	0	0	0	0	0	0
ABHD16B	0.125163762987809	0.116478002195686	0.109533493576948	0.1524015070408	0.382526281404825	0.499146625419528	0.211365620151755	0.688115106631211
ABHD17A	1.35967068136411	1.26036387560182	1.39634886866051	1.15548215090207	1.12673327297744	1.22117444350134	1.18968919935477	1.37524590211572
ABHD17B	0.51232916757173	0.461005045385247	0.5494202516089	0.550806967154359	0.157041045629811	0.191016246444595	0.210499229942347	0.289117167026021
ABHD17C	0.486272731772276	0.547166502960393	0.556471908984	0.451450216798286	0.06526851967341	0.0854672826310598	0.104429052529324	0.0818750421045977
ABHD18	0.367108874736913	0.422346447294723	0.345437819376713	0.518442421976449	0.396427324161527	0.321683507426612	0.348421887803425	0.268284087567481
ABHD2	0.704265263556782	0.751333674862697	0.714983859165981	0.796997225154756	0.478585760188321	0.575446292409817	0.828961756814414	0.458762273151221
ABHD3	0.597558006968367	0.614938854313242	0.439981212402866	0.434558579272758	0.624833617848405	0.488834007431879	0.418373098452086	0.433340136957702
ABHD4	0.140281351869565	0.192913954137192	0.303377897984144	0.164403778380231	0.346380651144431	0.281920025749893	0.511356843213689	0.579558335706121
ABHD5	0.367108874736913	0.481250303445452	0.436510672585024	0.471600543368189	0.0739443088650207	0.066522106248777	0.110014841014187	0.127145565720431
ABHD6	0.149442494710975	0.209450461421202	0.241877576254132	0.260187450880228	0.156133469038586	0.140030805678117	0.169180588098845	0.145878942779974
ABHD8	0.622294488391151	0.500575647089169	0.644536918214131	0.535705818309993	0.382526281404825	0.400819102810905	0.314149701352803	0.310408712272718
ABI1	0.585335763602985	0.566857064471535	0.547491075289208	0.814512282577795	0.584249972321323	0.560136421944004	0.637902820951564	0.824388154669232
ABI2	1.8941507229554	1.90097227861548	1.66988539119893	1.6617629655856	1.4484656208544	1.36449426333616	1.40983910879467	1.00500467443091
ABI3	0	0	0	0	0	0	0.00100244288571136	0
ABI3BP	0.00092050664080546	0.00451937461060254	0.00469478257003412	0	0.0150951691173042	0.021622625310171	0.0109887474800823	0.0130452910298087
ABITRAM	0.239550552599618	0.214920775880646	0.185929809513466	0.212264725206031	0.388721064649984	0.356131613839422	0.501473781285975	0.27138951699546
ABL1	1.56904725299271	1.71687680134716	1.77365163881003	1.50237711214637	0.991318192567358	1.16924548941717	1.23597804797588	1.15377258110105
ABL2	0.769997176748426	0.675708151022578	0.674308953201529	0.941998764942342	0.458112452564044	0.436135312219815	0.586072047431263	1.19932267199499
ABLIM1	0.209604700058604	0.386091172301967	0.132880136677122	0.114900417592565	0.0497148845358557	0.0854672826310598	0.156640626151637	0.501043786959012
ABLIM2	0.0639388086772329	0.094601021857805	0.116490491482304	0.193979745070964	0.00303169573974167	0	0.0149639943702536	0
ABLIM3	0	0	0	0	0.0140937234786934	0	0.00600423578932535	0.00373927822446344
ABO	0	0	0	0	0	0	0.0080001075194065	0.000935728547639116
ABR	0.00367850784419019	0.00180944908110813	0.00750433629866991	0.00191232954123361	0.0100809748871015	0.00543611395317927	0.0307563438852754	0
ABRA	0	0	0	0	0	0	0	0
ABRACL	0.297639640651028	0.298265630253101	0.263192875892308	0.127217417994317	0.21135062935422	0.257828715143951	0.205289933901423	0.227293168681666
ABRAXAS1	0.230160947281514	0.260221678242066	0.222662590111004	0.265768990872474	0.298653484772136	0.221698862366497	0.219139807277685	0.165207177433225
ABRAXAS2	0.15358749704859	0.140494162124576	0.210521952017685	0.154122242676189	0.4499892001649	0.384918406849538	0.426603499065319	0.461483970271076
ABT1	0.445607904705279	0.5183820260175	0.675487149711955	0.518442421976449	0.370838877027891	0.415185647306093	0.30768266868141	0.489089267695393
ABTB1	0.240330268188934	0.234290013821113	0.316276200117832	0.471600543368189	0.866486254654074	0.872756978593537	0.653287068871505	0.730478162691216
ABTB2	0.0604109688403963	0.120647345729096	0.140579141248487	0.0854445322153786	0.0399080165889341	0.0888852899460755	0.0618317076916427	0.21040324575241
ACAA1	0.455714231911801	0.410135229442154	0.428147155028947	0.527099941874987	0.437344420457908	0.448161475438414	0.46924031730066	0.54404854561082
ACAA2	0.97455447228173	0.975520919088141	0.99576680208472	1.01008976776884	0.291232250615798	0.242564762074851	0.358624980184568	0.298280618150588
ACACA	0.0797081951914175	0.0912056922367331	0.0875740933436557	0.0682082109560425	0.0428570829454154	0.0560825452836513	0.043461545842495	0.037875750247633
ACACB	0.332426752891185	0.330300566420373	0.265541919051858	0.348503676907342	0.530635330755197	0.529020482849709	0.498637569267089	0.216860839203004
ACAD10	0.639538413167391	0.655734788105191	0.790874271068126	0.649260823539748	0.628110070142019	0.467328539809784	0.426603499065319	0.380392242963228
ACAD11	0.0417469376086138	0.0463234673499744	0.0490039922079026	0.0782122170824937	0.203465174979131	0.188628794119883	0.219139807277685	0.235267016265934
ACAD8	0.477702046739059	0.454413242853012	0.516925584737199	0.534385174070136	0.493033690415756	0.424008056808853	0.552278658143829	0.368840733163218
ACAD9	0.809937267608119	0.865543472750892	0.8347743105106	0.77535918516405	0.935815347048639	0.997116383026522	0.719946773761261	0.934272226482392
ACADL	0	0.000905008220201335	0	0.000956481625868699	0.00101127328286897	0.00090744264359124	0.00500526353545469	0.0130452910298087
ACADM	0.718325174721878	0.807242245220908	0.747278148473557	0.688379639865999	0.370838877027891	0.506832998963574	0.342107006166519	0.348400323722672
ACADS	0.0318733185289975	0.0286823316505642	0.0270194882110212	0.0396360543871576	0.108134964613846	0.126790021786459	0.187788498768431	0.0906919465148556
ACADSB	0.209604700058604	0.195287948839629	0.241877576254132	0.466762377560699	0.382526281404825	0.216239558655521	0.418373098452086	0.155155194234412
ACADVL	1.34198101083437	1.24516796912911	1.11866247451857	1.63982428432188	2.01350818639161	2.00067124274592	2.16246778741123	2.27238491602238
ACAN	0	0	0.000940179521146817	0	0	0	0	0
ACAP1	0.00367850784419019	0.00451937461060254	0.00375704747225144	0.00668209277307456	0.00504929265229572	0	0.0169475177767891	0.0139725992784328
ACAP2	0.885151048669144	1.01994818991907	0.813526490404732	1.09002037094658	0.879191891684253	0.772702382763196	0.856914477371998	0.963366766150008
ACAP3	1.97014678616504	2.06810360271861	1.83160993677113	2.1427909319961	1.94080081908807	2.13631055153502	1.58818164474859	2.32451816655651
ACAT1	0.587788509878697	0.576602474028836	0.495071057253382	0.515098723801149	0.16518364446584	0.169385595504585	0.192183801933508	0.106427846809349
ACAT2	0.843166397022005	1.14433934127019	0.736593506467193	0.720671340884877	0.670676002892085	0.705824655176787	0.530227936721281	1.11237660531931
ACBD3	0.63717215929879	0.612572445193169	0.640319370059348	0.73913192060349	0.522207170281974	0.623962991326783	0.907508487662583	0.903578463563498
ACBD3-AS1	0.0155692927667885	0.0153084591483454	0.0214706150074618	0.0256049971878206	0.0160959200853826	0.0117524660215941	0.0238684522497314	0.0278111700234073
ACBD4	0.394686813433911	0.330300566420373	0.396344922882675	0.471600543368189	0.361420301158322	0.232555882273231	0.509244736286905	0.147569976374525
ACBD5	0.725582533810548	0.80827657474879	0.705787325148112	0.810153413021162	0.579518961720707	0.520819197447135	0.502889799127972	0.420808735241028
ACBD6	0.634802018013177	0.652282845040935	0.617819455645609	0.627129727343243	0.557004244372136	0.593606224730596	0.509949115554652	0.597609469429141
ACBD7	0.518127572043652	0.52468855848333	0.435120115639319	0.322724812083633	0.179546865091008	0.191016246444595	0.261583080346158	0.0250540548549911
ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0
ACCS	0.0146580883798202	0.00902463606475075	0.0186881545809146	0.0208974888873534	0.307672343860708	0.273683934650962	0.283169785007288	0.149259030169497
ACCSL	0	0	0	0	0	0	0	0
ACD	0.66473350439494	0.672303725063699	0.67666438481728	0.454246361285334	0.46765406056431	0.389776327689882	0.550225661155413	0.305115211968169
ACE	1.73922106422511	1.84889645563062	2.06190798673738	2.0217209530784	0.0270586064940943	0.00272061740313459	0.0444342502542884	0
ACE2	0	0	0	0.00477607940763233	0.0150951691173042	0.00904884348910379	0.00100244288571136	0
ACER1	0	0	0	0	0	0	0	0
ACER2	0.17983717965777	0.156014858403868	0.170970760778752	0.236018918433233	0.249293230881549	0.188628794119883	0.255715662045857	0.915537508282443
ACER3	0.319940792592403	0.259465597782451	0.296502411685386	0.293357303490066	0.196419515227355	0.18224287138353	0.316567384329511	0.122853840460885
ACHE	0	0	0	0.000956481625868699	0.0130915822044697	0.0108518213502843	0.035656210295514	0.655803057472902
ACIN1	2.35503752562786	2.45806367839542	2.31250081053227	2.62921804165906	2.88641479246917	3.11924341382431	2.45522158637151	3.30766831551061
ACKR1	0.0182994579149361	0.086097667908553	0.128585091743315	0.156699504061326	0	0	0	0
ACKR2	0.00092050664080546	0.0027133232936419	0	0	0.0100809748871015	0.00090744264359124	0.00100244288571136	0.000935728547639116
ACKR3	0.739437209991342	0.563185496878907	0.711542025224747	0.539660512972706	0.120285129542681	0.106698166890199	0.0997576511697777	0.222487619532719
ACKR4	0.00275975981556453	0.00451937461060254	0	0	0.012088744327541	0.00272061740313459	0.00400559907909723	0.00467258540880155
ACLY	3.19334021361503	3.18364116481815	3.18831277790171	2.90600623154239	1.35703839256781	1.48548360907958	1.33350625894766	1.56593721418515
ACMSD	0.00367850784419019	0.00180944908110813	0	0	0.0100809748871015	0	0.00300524146031362	0.00187085057734822
ACO1	0.62826398030687	0.6012786881777	0.597451561716978	0.609678830525189	0.431355368475071	0.401506477819352	0.653924532740847	0.508958786506341
ACO2	1.7094035243401	1.7653491562952	1.8065559891054	1.75514005508544	1.89502358548261	1.73192526697819	1.79217665369914	1.62205509574954
ACOD1	0	0	0	0	0	0	0	0
ACOT1	0.0718450477484142	0.0366475480548893	0.0875740933436557	0.0590530676951838	0.184896419090984	0.141677391753952	0.203549313536692	0.116823895360352
ACOT11	0.179024065584007	0.135557995662387	0.113016186050397	0.350005830785607	0.0613958029134839	0.0725771456403169	0.0531592033033673	0.0369636842535608
ACOT12	0	0.00542155313020921	0.0121748012287584	0.00572940085599898	0.00101127328286897	0.00543611395317927	0.00500526353545469	0.00560528920908182
ACOT13	0.356360004471087	0.330300566420373	0.352084531299128	0.34925494935437	0.236470045366946	0.283412458373407	0.155740729899091	0.299802217335589
ACOT2	0.476378948885599	0.353868427228984	0.481662945458564	0.396540423731504	0.42156981845009	0.344025093472429	0.384205633503794	0.326173664788552
ACOT4	0	0.00451937461060254	0.00375704747225144	0	0.00807040738017081	0.00543611395317927	0.0139712090684665	0.000935728547639116
ACOT6	0	0	0	0	0	0	0	0
ACOT7	0.723910996025197	0.801540139387856	0.60859695355319	0.536365687361846	0.217454100944508	0.37445316494446	0.304438248825039	0.360845075348967
ACOT8	0.281821149236635	0.27526066765286	0.296502411685386	0.318127396090565	0.401031398449896	0.450156125540397	0.518374950814548	0.475689245216724
ACOT9	0.106468958522042	0.163308892373817	0.0849163618739502	0.142900599124823	0.140616666394955	0.237953905912355	0.116504377278557	0.277580394015088
ACOX1	0.733357538001035	0.806724802240901	0.757327965321738	1.16105516417896	0.756413973854301	0.698571683889804	0.652011295507781	0.88697121487255
ACOX2	0	0	0	0	0	0	0	0
ACOX3	0.263527910458929	0.2288927881584	0.317031344537392	0.227054686838172	0.367706178861776	0.300465376692067	0.296295133805204	0.478379225165684
ACOXL	0.0857944841281758	0.0428124551436403	0.109533493576948	0.0890471390561794	0.0487371921523944	0.0278686586132287	0.0714070718102713	0.0250540548549911
ACOXL-AS1	0	0	0	0	0	0.00181431487241254	0.00200418971716534	0
ACP1	1.09669251702413	1.0429777787039	1.13930353895607	1.00913932421444	0.395658547933182	0.474532706709651	0.550225661155413	0.477034862142055
ACP2	0.208011251700934	0.199235946203136	0.224273649951324	0.244120165935067	0.457375862208976	0.383527419654325	0.3197846720575	0.34176820731791
ACP4	0	0	0.00375704747225144	0	0.00101127328286897	0.00181431487241254	0	0
ACP5	0	0	0	0.000956481625868699	0.00303169573974167	0.0135520703556924	0.00300524146031362	0.000935728547639116
ACP6	0.132742358949584	0.132257810179455	0.190881888137417	0.198155818953309	0.627455374695463	0.492064626358188	0.603996599866814	0.273714210218431
ACP7	0	0	0	0	0	0	0	0
ACPP	0.0978905708374091	0.0419333653767518	0.0571625722102437	0.0396360543871576	0.00202183819888801	0	0.00100244288571136	0.000935728547639116
ACR	0.00092050664080546	0	0.00187974674248881	0	0	0	0.00300524146031362	0
ACRBP	0.0497753920860436	0.0568055258454276	0.0804759002308778	0.0754907242377446	0.0565402419621413	0.0332009624101058	0.0599089848180412	0.0083997880947557
ACRV1	0.00917874305137172	0.0170988214900591	0.00469478257003412	0.011436138412467	0.0040408468950348	0.00272061740313459	0.00400559907909723	0.00187085057734822
ACSBG1	0.251975714285772	0.252642983310517	0.294203282107683	0.260187450880228	0.10437577207777	0.158854024078028	0.160234608445906	0.0985813510689257
ACSBG2	0.00184042632997661	0.0027133232936419	0	0	0.00807040738017081	0.00724360957441594	0.00200418971716534	0.00933008614044983
ACSF2	0.740539857557958	0.683620708165345	0.86038351031194	0.812334494001209	0.458848667033374	0.29899049001207	0.72055545979312	0.144185924739208
ACSF3	0.513619717379287	0.452429814632981	0.543624966257302	0.443732758202276	0.556316464778673	0.551491391976421	0.499347145169087	0.706587115902983
ACSL1	1.26476093396634	1.17673693974661	1.32794088952397	1.66779830052112	0.228721066034241	0.254788816809387	0.644332872688749	0.245567564546982
ACSL3	0.649551917836178	0.544065430622934	0.574899096164472	0.435973794211705	0.90589295728515	0.857307467251928	1.4132317539179	0.645069060524337
ACSL3-AS1	0	0.00180944908110813	0	0	0	0	0	0.000935728547639116
ACSL4	0.407239442339822	0.318733634312937	0.35502882450473	0.403790762522478	0.555628357141938	0.579704101634106	0.736893652824036	0.936719307756563
ACSL5	0.0327737177857247	0.0242381351093483	0.00750433629866991	0.0452104900463486	0	0.00724360957441594	0.00100244288571136	0
ACSL6	1.03422049983342	1.27090657072458	0.940974127621914	2.1447395443001	0.0200919964838425	0.00724360957441594	0.0248544524271896	0.00933008614044983
ACSL6-AS1	0	0.00361663156738878	0	0.00382212759544648	0	0	0	0
ACSM1	0	0.00361663156738878	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	0.252748745227	0.228120104996105	0.14823727774627	0.216388279856552	0.139698695142321	0.143322100679708	0.135799655555447	0.106427846809349
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0
ACSS1	0.00092050664080546	0.00180944908110813	0.013107082577462	0.0461374721688885	0.288749998277138	0.275934808325968	0.384205633503794	0.199032435063252
ACSS2	0.113295131256423	0.0758270403640694	0.147388378389002	0.167814738370141	1.129047797727	0.705824655176787	1.3999930789253	0.618489194080975
ACSS3	0.00184042632997661	0.00632316783180849	0.00656842619319756	0.0535319646371618	0	0	0	0
ACTA1	0	0.00812470859677783	0	0.00477607940763233	0	0	0	0.00653739040497673
ACTA2	0.00092050664080546	0.0027133232936419	0	0.00191232954123361	0.0777835315399944	0.0673886693419482	0.224299422242619	0.221685136125831
ACTA2-AS1	0	0	0	0.00286754458525945	0.00807040738017081	0.00634014483126115	0.0228817777362179	0.0451515945055165
ACTB	4.98663572115047	5.24298573277958	5.09893431607036	4.82009379320761	3.92880545841144	4.09520820415819	3.7423171826666	4.37961358877604
ACTBL2	0	0	0	0	0	0.00090744264359124	0	0
ACTC1	0.00734766027167926	0	0.0233226117541169	0.00668209277307456	0	0	0	0
ACTG1	4.05295455172874	4.12680858468249	4.2788863240553	4.39960220111956	4.06655586633011	4.10563309332328	4.73327172801779	4.3219995627684
ACTG1P17	0.0201167019087484	0.0126187428323914	0.00563190854674418	0.00668209277307456	0.00706407191249687	0.00724360957441594	0.0218944279636459	0.00746888977464948
ACTG1P20	0.0577594161492652	0.0937529382945711	0.083141816951767	0.125464271573638	0.0497148845358557	0.0578277265404626	0.0336982602651762	0.0712231338767709
